disease_icd10_code,disease_common_name,disease_standard_description
A09.0,ACUTE BLOODY DIARRHEA,"DIARRHEA, ACUTE, BLOODY"
B15,HEPATITIS A,"HEPATITIS, TYPE A"
A00,CHOLERA,CHOLERA
A90-A91,DENGUE FEVER,"FEVER, DENGUE"
A27,LEPTOSPIROSIS,LEPTOSPIROSIS
A82,RABIES,RABIES
A01,TYPHOID FEVER,"FEVER, TYPHOID"
A08,ROTAVIRAL ENTERITIS,"ENTERITIS, ROTAVIRAL"
A92,CHIKUNGUYA VIRAL DISEASE,"FEVER, VIRAL, MOSQUITO-BORNE, CHIKUNGUNYA"
E08-E14,DIABETES,DIABETES MELLITUS
I11,HYPERTENSIVE HEART DISEASE,"HEART DISEASE, HYPERTENSIVE"
I21-I22,ISCHEMIC HEART DISEASE,"HEART DISEASE, ISCHEMIC"
I63,ISCHEMIC STROKE,"STROKE, ISCHEMIC"
A09,GASTROENTERITIS,"INFECTIOUS GASTROENTERITIS AND COLITIS, UNSPECIFIED"
J45,ASTHMA,ASTHMA
I20-I25,ANGINA,ANGINA PECTORIS
T67,HEAT STROKE,HEATSTROKE AND SUNSTROKE
